0.00000e+00	0.00000e+00	        NaN
0.00000e+00	1.00000e-02	0.00000e+00
0.00000e+00	2.00000e-02	0.00000e+00
0.00000e+00	3.00000e-02	0.00000e+00
0.00000e+00	4.00000e-02	0.00000e+00
0.00000e+00	5.00000e-02	0.00000e+00
0.00000e+00	6.00000e-02	0.00000e+00
0.00000e+00	7.00000e-02	0.00000e+00
0.00000e+00	8.00000e-02	0.00000e+00
0.00000e+00	9.00000e-02	0.00000e+00
0.00000e+00	1.00000e-01	0.00000e+00
0.00000e+00	1.10000e-01	0.00000e+00
0.00000e+00	1.20000e-01	0.00000e+00
0.00000e+00	1.30000e-01	0.00000e+00
0.00000e+00	1.40000e-01	0.00000e+00
0.00000e+00	1.50000e-01	0.00000e+00
0.00000e+00	1.60000e-01	0.00000e+00
0.00000e+00	1.70000e-01	0.00000e+00
0.00000e+00	1.80000e-01	0.00000e+00
0.00000e+00	1.90000e-01	0.00000e+00
0.00000e+00	2.00000e-01	0.00000e+00
0.00000e+00	2.10000e-01	0.00000e+00
0.00000e+00	2.20000e-01	0.00000e+00
0.00000e+00	2.30000e-01	0.00000e+00
0.00000e+00	2.40000e-01	0.00000e+00
0.00000e+00	2.50000e-01	0.00000e+00
0.00000e+00	2.60000e-01	0.00000e+00
0.00000e+00	2.70000e-01	0.00000e+00
0.00000e+00	2.80000e-01	0.00000e+00
0.00000e+00	2.90000e-01	0.00000e+00
0.00000e+00	3.00000e-01	0.00000e+00
0.00000e+00	3.10000e-01	0.00000e+00
0.00000e+00	3.20000e-01	0.00000e+00
0.00000e+00	3.30000e-01	0.00000e+00
0.00000e+00	3.40000e-01	0.00000e+00
0.00000e+00	3.50000e-01	0.00000e+00
0.00000e+00	3.60000e-01	0.00000e+00
0.00000e+00	3.70000e-01	0.00000e+00
0.00000e+00	3.80000e-01	0.00000e+00
0.00000e+00	3.90000e-01	0.00000e+00
0.00000e+00	4.00000e-01	0.00000e+00
0.00000e+00	4.10000e-01	0.00000e+00
0.00000e+00	4.20000e-01	0.00000e+00
0.00000e+00	4.30000e-01	0.00000e+00
0.00000e+00	4.40000e-01	0.00000e+00
0.00000e+00	4.50000e-01	0.00000e+00
0.00000e+00	4.60000e-01	0.00000e+00
0.00000e+00	4.70000e-01	0.00000e+00
0.00000e+00	4.80000e-01	0.00000e+00
0.00000e+00	4.90000e-01	0.00000e+00
0.00000e+00	5.00000e-01	0.00000e+00
0.00000e+00	5.10000e-01	0.00000e+00
0.00000e+00	5.20000e-01	0.00000e+00
0.00000e+00	5.30000e-01	0.00000e+00
0.00000e+00	5.40000e-01	0.00000e+00
0.00000e+00	5.50000e-01	0.00000e+00
0.00000e+00	5.60000e-01	0.00000e+00
0.00000e+00	5.70000e-01	0.00000e+00
0.00000e+00	5.80000e-01	0.00000e+00
0.00000e+00	5.90000e-01	0.00000e+00
0.00000e+00	6.00000e-01	0.00000e+00
0.00000e+00	6.10000e-01	0.00000e+00
0.00000e+00	6.20000e-01	0.00000e+00
0.00000e+00	6.30000e-01	0.00000e+00
0.00000e+00	6.40000e-01	0.00000e+00
0.00000e+00	6.50000e-01	0.00000e+00
0.00000e+00	6.60000e-01	0.00000e+00
0.00000e+00	6.70000e-01	0.00000e+00
0.00000e+00	6.80000e-01	0.00000e+00
0.00000e+00	6.90000e-01	0.00000e+00
0.00000e+00	7.00000e-01	0.00000e+00
0.00000e+00	7.10000e-01	0.00000e+00
0.00000e+00	7.20000e-01	0.00000e+00
0.00000e+00	7.30000e-01	0.00000e+00
0.00000e+00	7.40000e-01	0.00000e+00
0.00000e+00	7.50000e-01	0.00000e+00
0.00000e+00	7.60000e-01	0.00000e+00
0.00000e+00	7.70000e-01	0.00000e+00
